policy,k,bmax,total_waves,wave_index,measurement_phase,start_request,stop_request,wave_batch_size,is_full_wave,is_partial_wave,prompt_tokens,generated_tokens,prefill_wall_seconds,decode_wall_seconds,e2e_wall_seconds,prefill_prompt_tokens_per_second,decode_tokens_per_second,e2e_total_tokens_per_second,prefill_expert_h2d_fetches,decode_expert_h2d_fetches
permanent_k,48,25,8,0,warmup,0,25,25,True,False,102400,3200,7.901086762023624,103.8825541040278,111.78364086605143,12960.242443126057,30.80401735979196,944.6820588581367,3817,262796
permanent_k,48,25,8,1,steady_state,25,50,25,True,False,102400,3200,6.280361752025783,103.83418201399036,110.11454376601614,16304.793265606082,30.818367689060622,959.0013851793351,3806,252282
permanent_k,48,25,8,2,steady_state,50,75,25,True,False,102400,3200,5.504320525971707,95.72277618997032,101.22709671594203,18603.567782223727,33.42987037535682,1043.1989400657117,3815,218806
permanent_k,48,25,8,3,steady_state,75,100,25,True,False,102400,3200,4.9863084179814905,106.55591062700842,111.5422190449899,20536.23470837221,30.031182514139253,946.7267273695429,3839,273867
permanent_k,48,25,8,4,steady_state,100,125,25,True,False,102400,3200,4.83357973798411,104.16096462699352,108.99454436497763,21185.126873009216,30.721681691979203,968.8558323285365,3776,267747
permanent_k,48,25,8,5,steady_state,125,150,25,True,False,102400,3200,4.86792825901648,104.50965529103996,109.37758355005644,21035.64279328327,30.61918050622782,965.4629090582565,3808,257253
permanent_k,48,25,8,6,steady_state,150,175,25,True,False,102400,3200,4.777645889960695,98.63010072801262,103.40774661797332,21433.14978935001,32.4444563716353,1021.2000885206954,3787,234303
permanent_k,48,25,8,7,steady_state,175,200,25,True,False,102400,3200,4.720030358992517,108.80564574000891,113.52567609900143,21694.775713658146,29.410238579406073,930.1860480259131,3837,282210
permanent_k,64,13,16,0,warmup,0,13,13,True,False,53248,1664,7.656925218994729,77.61950677499408,85.27643199398881,6954.227510007063,21.437909993729498,643.9293802051989,3049,133490
permanent_k,64,13,16,1,steady_state,13,26,13,True,False,53248,1664,4.417311644996516,69.02408673096215,73.44139837595867,12054.390606629247,24.107526499928017,747.6981813295056,2938,84829
permanent_k,64,13,16,2,steady_state,26,39,13,True,False,53248,1664,3.6683753269608133,75.55710918799741,79.22548451495823,14515.417658780043,22.023076556035495,693.1103083330755,3029,119175
permanent_k,64,13,16,3,steady_state,39,52,13,True,False,53248,1664,3.3470310909906402,74.93513963400619,78.28217072499683,15909.02461089475,22.205870411761573,701.4624082526325,3007,115953
permanent_k,64,13,16,4,steady_state,52,65,13,True,False,53248,1664,3.1372788780136034,68.7664213120006,71.9037001900142,16972.670288627465,24.19785657378118,763.6880974816096,3047,87959
permanent_k,64,13,16,5,steady_state,65,78,13,True,False,53248,1664,3.0707493409863673,64.26976185495732,67.34051119594369,17340.392877165286,25.890869235757883,815.4378252374727,2988,63690
permanent_k,64,13,16,6,steady_state,78,91,13,True,False,53248,1664,3.096337722032331,79.14114393497584,82.23748165700817,17197.09049213463,21.02572590266297,667.7247271387045,3071,133699
permanent_k,64,13,16,7,steady_state,91,104,13,True,False,53248,1664,2.986122358997818,83.58081387297716,86.56693623197498,17831.82120436308,19.90887528959555,634.3299461684924,3007,127178
permanent_k,64,13,16,8,steady_state,104,117,13,True,False,53248,1664,3.113167395000346,78.326659473998,81.43982686899835,17104.123628403246,21.244363173082796,674.264694696979,3006,125556
permanent_k,64,13,16,9,steady_state,117,130,13,True,False,53248,1664,2.9995177360251546,77.41926163999597,80.41877937602112,17752.18708010115,21.49335920739849,682.8255840994944,2987,130802
permanent_k,64,13,16,10,steady_state,130,143,13,True,False,53248,1664,3.0525011249701492,71.54272332903929,74.59522445400944,17444.05581521963,23.258829445825416,736.1329146995887,3033,93566
permanent_k,64,13,16,11,steady_state,143,156,13,True,False,53248,1664,3.068310451984871,73.24474577000365,76.31305622198852,17354.176128283954,22.718353139283714,719.5623228647196,3028,113357
permanent_k,64,13,16,12,steady_state,156,169,13,True,False,53248,1664,3.0460978460032493,73.49437035800656,76.54046820400981,17480.72540409892,22.641189956377684,717.4244068332373,3001,109845
permanent_k,64,13,16,13,steady_state,169,182,13,True,False,53248,1664,3.008281937974971,81.72290096298093,84.7311829009559,17700.46860562676,20.361489623988795,648.0730956416343,2994,152816
permanent_k,64,13,16,14,steady_state,182,195,13,True,False,53248,1664,3.0526937769609503,74.30998352100141,77.36267729796236,17442.95494093417,22.39268428218292,709.7996335947167,3069,110694
permanent_k,64,13,16,15,steady_state,195,200,5,False,True,20480,640,2.01080065703718,42.34355994896032,44.3543606059975,10184.997666639078,15.11445898199011,476.1651326148122,2891,36920
permanent_k,80,2,100,0,warmup,0,2,2,True,False,8192,256,5.47839958401164,25.20991553796921,30.68831512198085,1495.3272163476045,10.154734537465337,275.28393026533496,2102,10988
permanent_k,80,2,100,1,steady_state,2,4,2,True,False,8192,256,1.8809644290013239,25.537224318017252,27.418188747018576,4355.212609921308,10.024582030216362,308.11663301131176,2168,19329
permanent_k,80,2,100,2,steady_state,4,6,2,True,False,8192,256,1.6307533310027793,24.950244197971188,26.580997528973967,5023.4452042864095,10.260420618280621,317.8210295076949,2158,18594
permanent_k,80,2,100,3,steady_state,6,8,2,True,False,8192,256,1.7110912239877507,25.40710134000983,27.11819256399758,4787.588110532349,10.07592312771485,311.5251866459441,2252,17315
